id,win
9,0
10,0
11,0
12,0
13,0
14,1
15,1
16,1
17,1
18,1
19,0
20,0
21,0
22,0
23,0
24,1
25,1
26,1
27,1
28,1
29,0
30,0
31,0
32,0
33,0
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,0
42,0
43,0
44,1
45,1
46,1
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,1
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,1
143,1
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,1
152,1
153,1
154,0
155,0
156,0
157,0
158,0
159,1
160,1
161,1
162,1
163,1
164,0
165,0
166,0
167,0
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,1
202,1
203,1
204,0
205,0
206,0
207,0
208,0
209,1
210,1
211,1
212,1
213,1
214,0
215,0
216,0
217,0
218,0
219,1
220,1
221,1
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,1
232,1
233,1
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,1
265,1
266,1
267,1
268,1
269,0
270,0
271,0
272,0
273,0
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,1
291,1
292,1
293,1
294,0
295,0
296,0
297,0
298,0
299,1
300,1
301,1
302,1
303,1
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,1
322,1
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,1
375,1
376,1
377,1
378,1
379,0
380,0
381,0
382,0
383,0
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,0
415,0
416,0
417,0
418,0
419,1
420,1
421,1
422,1
423,1
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,1
435,1
436,1
437,1
438,1
439,0
440,0
441,0
442,0
443,0
444,1
445,1
446,1
447,1
448,1
449,0
450,0
451,0
452,0
453,0
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,1
495,1
496,1
497,1
498,1
499,0
500,0
501,0
502,0
503,0
504,1
505,1
506,1
507,1
508,1
509,0
510,0
511,0
512,0
513,0
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,1
535,1
536,1
537,1
538,1
539,0
540,0
541,0
542,0
543,0
544,1
545,1
546,1
547,1
548,1
549,0
550,0
551,0
552,0
553,0
554,1
555,1
556,1
557,1
558,1
559,0
560,0
561,0
562,0
563,0
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,0
575,0
576,0
577,0
578,0
579,1
580,1
581,1
582,1
583,1
584,0
585,0
586,0
587,0
588,0
589,1
590,1
591,1
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,1
605,1
606,1
607,1
608,1
609,0
610,0
611,0
612,0
613,0
614,1
615,1
616,1
617,1
618,1
619,0
620,0
621,0
622,0
623,0
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,0
